timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666086256687,7324,HomePage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 7,324 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,15,15,https://puzzlebazaarbd.com/,4118,0,1807
1666086258038,6917,HomePage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 6,917 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385953,116,17,17,https://puzzlebazaarbd.com/,3174,0,622
1666086257030,8167,HomePage,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 8,167 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,18,18,https://puzzlebazaarbd.com/,3717,0,1462
1666086258523,7918,HomePage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 7,918 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385933,116,20,20,https://puzzlebazaarbd.com/,3753,0,550
1666086257559,9352,HomePage,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 9,352 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385935,116,20,20,https://puzzlebazaarbd.com/,4544,0,933
1666086259528,9517,HomePage,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 9,517 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385942,116,20,20,https://puzzlebazaarbd.com/,4861,0,554
1666086260526,10449,HomePage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 10,449 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,5105,0,547
1666086264016,8052,ShopPage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 8,052 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216244,121,20,20,https://puzzlebazaarbd.com/shop/,4485,0,0
1666086259032,13621,HomePage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 13,621 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,4294,0,560
1666086262023,12042,HomePage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 12,042 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385948,116,20,20,https://puzzlebazaarbd.com/,5254,0,554
1666086260025,14235,HomePage,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 14,235 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,5395,0,557
1666086264957,13999,ShopPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 13,999 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216244,121,20,20,https://puzzlebazaarbd.com/shop/,7162,0,0
1666086261522,18061,HomePage,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 18,061 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,5960,0,549
1666086262522,17334,HomePage,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 17,334 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,6380,0,593
1666086266442,14737,ShopPage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 14,737 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216250,121,20,20,https://puzzlebazaarbd.com/shop/,8134,0,0
1666086263018,20499,HomePage,200,OK,Thread Group 1-14,text,false,"The operation lasted too long: It took 20,499 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,20,20,https://puzzlebazaarbd.com/,5768,0,637
1666086278958,5547,AboutPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 5,547 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132314,125,20,20,https://puzzlebazaarbd.com/about-us/,930,0,0
1666086272069,12590,AboutPage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 12,590 milliseconds, but should not have lasted longer than 1,200 milliseconds.",132320,125,19,19,https://puzzlebazaarbd.com/about-us/,5660,0,0
1666086265198,19868,ShopPage,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 19,868 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216244,121,18,18,https://puzzlebazaarbd.com/shop/,8642,0,0
1666086285067,379,AboutPage,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: puzzlebazaarbd.com:443 failed to respond,Thread Group 1-2,text,false,,2100,0,18,18,https://puzzlebazaarbd.com/about-us/,0,0,0
1666086261025,24597,HomePage,200,OK,Thread Group 1-10,text,false,"The operation lasted too long: It took 24,597 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385935,116,17,17,https://puzzlebazaarbd.com/,6351,0,549
1666086264033,22624,HomePage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 22,624 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385947,116,17,17,https://puzzlebazaarbd.com/,7765,0,595
1666086274262,12981,ShopPage,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 12,981 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216204,121,17,17,https://puzzlebazaarbd.com/shop/,4069,0,0
1666086270985,16667,ShopPage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 16,667 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216205,121,17,17,https://puzzlebazaarbd.com/shop/,6730,0,0
1666086272656,15048,ShopPage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 15,048 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216197,121,17,17,https://puzzlebazaarbd.com/shop/,5552,0,0
1666086263543,24588,HomePage,200,OK,Thread Group 1-15,text,false,"The operation lasted too long: It took 24,588 milliseconds, but should not have lasted longer than 1,200 milliseconds.",385953,116,17,17,https://puzzlebazaarbd.com/,7943,0,655
1666086274066,14086,ShopPage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 14,086 milliseconds, but should not have lasted longer than 1,200 milliseconds.",216244,121,17,17,https://puzzlebazaarbd.com/shop/,5240,0,0
